테스트시나리오ID,테스트시나리오명,테스트케이스ID,테스트케이스 내용,사전조건,예상결과,관련 API,실제결과,pass/fail,테스트수행일,담당자
"테스트_커뮤니티_01","커뮤니티 [실패]","테스트_커뮤니티_01.012","비로그인 상태에서 ""글쓰기"" 버튼을 클릭한다","비로그인 상태","로그인 요구 안내 메시지 또는 로그인 페이지로 이동한다","- (프론트 인증 체크)",,,,,
"테스트_커뮤니티_01","커뮤니티 [실패]","테스트_커뮤니티_01.013","제목을 빈칸으로 두고 게시글 등록을 시도한다","로그인 상태","제목 필수 입력 안내 메시지가 표시된다 (프론트 검증)","- (프론트 유효성 검사)",,,,,
"테스트_커뮤니티_01","커뮤니티 [실패]","테스트_커뮤니티_01.014","게시글 상세에서 비로그인 상태로 댓글 작성을 시도한다","비로그인 상태","로그인 요구 안내 메시지가 표시된다","POST /api/community/posts/{postId}/comments → 401",,,,,
"테스트_공지_01","공지사항 [성공]","테스트_공지_01.001","공지사항 페이지에 접속한다","페이지 로드 완료","API 200 응답, ""📢 공지사항"" 제목, 검색바, 공지 목록이 표시된다","GET /api/notices → 200",,,,,
"테스트_공지_01","공지사항 [성공]","테스트_공지_01.002","검색바에 키워드를 입력하고 검색 버튼을 클릭한다","공지사항 페이지","해당 키워드가 포함된 공지만 목록에 표시된다","GET /api/notices?keyword={kw} → 200",,,,,
"테스트_공지_01","공지사항 [성공]","테스트_공지_01.003","공지사항 목록에서 특정 공지를 클릭한다","공지사항 페이지","API 200 응답, 공지 상세 내용 페이지로 이동하고 조회수가 증가한다","GET /api/notices/{noticeId} → 200",,,,,
"테스트_공지_01","공지사항 [성공]","테스트_공지_01.004","공지사항 상세 페이지에서 ""목록으로"" 버튼을 클릭한다","공지 상세 페이지","공지사항 목록 페이지로 이동한다","- (프론트 라우팅)",,,,,
"테스트_공지_01","공지사항 [성공]","테스트_공지_01.005","메인 페이지 접속시 팝업 공지가 있는지 확인한다","팝업 공지 등록 상태","API 200 응답, 팝업 공지가 메인 페이지에 표시된다","GET /api/notices/popup → 200",,,,,
"테스트_마이페이지_01","찜목록 [성공]","테스트_마이페이지_01.001","로그인 후 마이페이지 > 찜목록을 클릭한다","로그인 상태","API 200 응답, 즐겨찾기한 축제 목록이 표시된다","GET /api/favorites → 200",,,,,
"테스트_마이페이지_01","찜목록 [성공]","테스트_마이페이지_01.002","찜목록에서 특정 축제 카드를 클릭한다","찜목록 페이지","해당 축제 상세 페이지로 이동한다","GET /api/festivals/{id} → 200",,,,,
"테스트_마이페이지_01","찜목록 [성공]","테스트_마이페이지_01.003","찜목록에서 하트 아이콘을 클릭하여 즐겨찾기를 해제한다","찜목록 페이지","API 200 응답, 해당 축제가 찜목록에서 제거된다","DELETE /api/favorites/{festivalId} → 200",,,,,
"테스트_마이페이지_01","찜목록 [실패]","테스트_마이페이지_01.004","즐겨찾기한 축제가 없는 경우를 확인한다","찜목록 비어있음","API 200 응답(빈 리스트), ""찜한 축제가 없습니다"" 빈 상태 안내가 표시된다","GET /api/favorites → 200 (empty)",,,,,
"테스트_마이페이지_02","내 게시글/리뷰 [성공]","테스트_마이페이지_02.001","마이페이지 > 내 게시글 탭을 클릭한다","로그인 상태","API 200 응답, 본인이 작성한 게시글 목록이 표시된다","GET /api/users/me/posts → 200",,,,,
"테스트_마이페이지_02","내 게시글/리뷰 [성공]","테스트_마이페이지_02.002","내 게시글 목록에서 특정 게시글을 클릭한다","내 게시글 페이지","해당 게시글 상세 페이지로 이동한다","GET /api/community/posts/{postId} → 200",,,,,
"테스트_마이페이지_02","내 게시글/리뷰 [성공]","테스트_마이페이지_02.003","마이페이지 > 내 리뷰 탭을 클릭한다","로그인 상태","API 200 응답, 본인이 작성한 리뷰 목록이 표시된다","GET /api/users/me/reviews → 200",,,,,
"테스트_마이페이지_02","내 게시글/리뷰 [성공]","테스트_마이페이지_02.004","마이페이지 > 내 댓글 탭을 클릭한다","로그인 상태","API 200 응답, 본인이 작성한 댓글 목록이 표시된다","GET /api/mypage/activities?type=comments → 200",,,,,
"테스트_마이페이지_02","내 게시글/리뷰 [성공]","테스트_마이페이지_02.005","내 댓글 목록에서 특정 댓글을 클릭한다","내 댓글 페이지","해당 댓글이 있는 게시글 상세 페이지로 이동한다","GET /api/community/posts/{postId} → 200",,,,,
"테스트_마이페이지_03","1:1 문의 [성공]","테스트_마이페이지_03.001","마이페이지 > 내 문의 탭을 클릭한다","로그인 상태","API 200 응답, 본인이 작성한 문의 내역 목록이 표시된다","GET /api/users/me/inquiries → 200",,,,,
"테스트_마이페이지_03","1:1 문의 [성공]","테스트_마이페이지_03.002","""문의 작성"" 버튼을 클릭하고 카테고리, 제목, 내용을 입력하여 문의를 등록한다","로그인 상태 / 유효 입력","API 201 응답, 문의가 접수되고 ""접수완료"" 상태로 내 문의 내역에 표시된다","POST /api/users/me/inquiries → 201",,,,,
"테스트_마이페이지_03","1:1 문의 [성공]","테스트_마이페이지_03.003","내 문의 내역에서 특정 문의를 클릭한다","내 문의 페이지","문의 상세(질문 내용, 답변 내용, 상태)가 표시된다","GET /api/users/me/inquiries → 200",,,,,
"테스트_마이페이지_03","1:1 문의 [성공]","테스트_마이페이지_03.004","답변 완료된 문의의 상태를 확인한다","관리자 답변 완료","""답변완료"" 상태 뱃지와 관리자 답변 내용이 표시된다","GET /api/users/me/inquiries → 200",,,,,
"테스트_마이페이지_04","신고내역 [성공]","테스트_마이페이지_04.001","마이페이지 > 내 신고내역 탭을 클릭한다","로그인 상태","API 200 응답, 본인이 신고한 내역 목록이 표시된다","GET /api/reports/me → 200",,,,,
"테스트_마이페이지_04","신고내역 [성공]","테스트_마이페이지_04.002","신고내역에서 특정 신고를 클릭한다","내 신고내역 페이지","신고 상세(신고 대상, 사유, 처리 상태)가 표시된다","GET /api/reports/me/{reportId} → 200",,,,,
"테스트_마이페이지_04","신고내역 [성공]","테스트_마이페이지_04.003","처리 완료된 신고의 상태를 확인한다","관리자 처리 완료","""처리완료"" 상태와 처리 결과가 표시된다","GET /api/reports/me → 200",,,,,
"테스트_마이페이지_05","설정 [성공]","테스트_마이페이지_05.001","마이페이지 > 설정을 클릭한다","로그인 상태","API 200 응답, 프로필 정보(아이디, 닉네임, 휴대폰번호), 비밀번호 변경, 회원탈퇴 섹션이 표시된다","GET /api/mypage/profile → 200",,,,,
"테스트_마이페이지_05","설정 [성공]","테스트_마이페이지_05.002","닉네임을 수정하고 저장 버튼을 클릭한다","설정 페이지 / 유효 닉네임","API 200 응답, 닉네임이 변경되고 성공 메시지가 표시된다","PUT /api/mypage → 200",,,,,
"테스트_마이페이지_05","설정 [성공]","테스트_마이페이지_05.003","현재 비밀번호, 새 비밀번호를 입력하고 비밀번호 변경을 요청한다","설정 페이지 / 유효 입력","API 200 응답, 비밀번호가 변경되고 성공 메시지가 표시된다","PUT /api/mypage → 200",,,,,
"테스트_마이페이지_05","설정 [성공]","테스트_마이페이지_05.004","""회원탈퇴"" 버튼을 클릭한다","설정 페이지","회원탈퇴 확인 팝업이 표시된다","- (프론트 UI)",,,,,
"테스트_마이페이지_05","설정 [성공]","테스트_마이페이지_05.005","회원탈퇴 확인 팝업에서 ""확인""을 클릭한다","탈퇴 팝업 표시 상태","API 200 응답, 계정이 삭제되고 로그아웃 처리 후 메인 페이지로 이동한다","DELETE /api/auth/me → 200",,,,,
"테스트_마이페이지_05","설정 [실패]","테스트_마이페이지_05.006","현재 비밀번호를 틀리게 입력하고 비밀번호 변경을 시도한다","설정 페이지","API 400 응답, ""현재 비밀번호가 올바르지 않습니다"" 오류 메시지가 표시된다","PUT /api/mypage → 400",,,,,
"테스트_알림_01","FCM 알림 [성공]","테스트_알림_01.001","로그인 후 알림 아이콘(벨)을 클릭한다","로그인 상태","API 200 응답, 알림 드롭다운/페이지가 표시된다","GET /api/users/me/notifications → 200",,,,,
"테스트_알림_01","FCM 알림 [성공]","테스트_알림_01.002","즐겨찾기한 축제의 시작일이 다가오면 알림이 표시되는지 확인한다","즐겨찾기 축제 있음","축제 시작 알림이 도착한다","- (FCM Push)",,,,,
"테스트_알림_01","FCM 알림 [성공]","테스트_알림_01.003","알림을 클릭한다","알림 수신 상태","해당 알림과 관련된 페이지(축제 상세 등)로 이동한다","PATCH /api/users/me/notifications/read → 200",,,,,
"테스트_알림_01","FCM 알림 [성공]","테스트_알림_01.004","읽지 않은 알림이 있을 때 알림 아이콘에 뱃지가 표시되는지 확인한다","미읽 알림 존재","API 응답의 unread 카운트 기반으로 읽지 않은 알림 수가 뱃지로 표시된다","GET /api/users/me/notifications → 200",,,,,
"테스트_관리자_01","통계 대시보드 [성공]","테스트_관리자_01.001","관리자 계정으로 로그인 후 관리자 대시보드에 접속한다","관리자 로그인 상태","API 200 응답, 축제 통계, 사용자 통계, 차트 등 대시보드 화면이 표시된다","GET /api/admin/dashboard → 200",,,,,
"테스트_관리자_01","통계 대시보드 [성공]","테스트_관리자_01.002","대시보드에서 축제 수, 사용자 수, 리뷰 수 등 주요 통계가 표시되는지 확인한다","관리자 대시보드","각 통계 수치 카드가 정상 표시된다","GET /api/admin/dashboard → 200",,,,,
"테스트_관리자_01","통계 대시보드 [실패]","테스트_관리자_01.003","일반 사용자 계정으로 관리자 페이지에 접근을 시도한다","일반 사용자 로그인","API 403 응답, 접근 권한 없음 처리가 되고 접근이 거부된다","GET /api/admin/dashboard → 403",,,,,
"테스트_관리자_02","축제 관리 [성공]","테스트_관리자_02.001","관리자 > 공공축제 관리 페이지에 접속한다","관리자 로그인 상태","API 200 응답, 공공데이터 축제 목록이 표시된다","GET /api/admin/festivals → 200",,,,,
"테스트_관리자_02","축제 관리 [성공]","테스트_관리자_02.002","""데이터 동기화"" 버튼을 클릭한다","관리자 축제 관리","API 200 응답, 공공데이터포털에서 축제 데이터를 가져와 DB에 동기화한다","POST /api/admin/festivals/sync/all → 200",,,,,
"테스트_관리자_02","축제 관리 [성공]","테스트_관리자_02.003","관리자 > 축제 관리 페이지에서 특정 축제를 선택한다","관리자 축제 관리","축제 상세 정보 편집 화면이 표시된다","GET /api/admin/festivals → 200",,,,,
"테스트_관리자_02","축제 관리 [성공]","테스트_관리자_02.004","축제 정보를 수정하고 저장 버튼을 클릭한다","축제 편집 화면","API 200 응답, 축제 정보가 업데이트되고 성공 메시지가 표시된다","PATCH /api/admin/festivals/{id}/visibility → 200",,,,,
"테스트_관리자_03","신고 관리 [성공]","테스트_관리자_03.001","관리자 > 신고 관리 페이지에 접속한다","관리자 로그인 상태","API 200 응답, 접수된 신고 목록(대기/처리완료 상태)이 표시된다","GET /api/admin/reports → 200",,,,,
"테스트_관리자_03","신고 관리 [성공]","테스트_관리자_03.002","""대기"" 상태의 신고를 클릭하고 상세 내용을 확인한다","신고 관리 페이지","신고 대상, 신고자, 사유, 원본 콘텐츠가 표시된다","GET /api/admin/reports/{reportId}/target → 200",,,,,
"테스트_관리자_03","신고 관리 [성공]","테스트_관리자_03.003","신고를 ""처리완료""로 변경하고 처리 사유를 입력한다","신고 상세 모달","API 200 응답, 신고 상태가 ""처리완료""로 변경된다","PATCH /api/admin/reports/{reportId}/process → 200",,,,,
"테스트_관리자_03","신고 관리 [성공]","테스트_관리자_03.004","신고된 게시글/댓글을 삭제 처리한다","신고 상세 모달","API 200 응답, 해당 콘텐츠가 삭제되고 신고가 처리된다","PATCH /api/admin/reports/{reportId}/process → 200",,,,,
"테스트_관리자_04","공지/팝업 관리 [성공]","테스트_관리자_04.001","관리자 > 공지사항 관리 페이지에서 ""공지 작성"" 버튼을 클릭한다","관리자 로그인 상태","공지사항 작성 폼이 표시된다","- (프론트 UI)",,,,,
"테스트_관리자_04","공지/팝업 관리 [성공]","테스트_관리자_04.002","제목, 내용을 입력하고 등록한다","공지 작성 폼","API 201 응답, 공지사항이 등록되고 사용자 공지사항 페이지에 표시된다","POST /api/admin/notices → 201",,,,,
"테스트_관리자_04","공지/팝업 관리 [성공]","테스트_관리자_04.003","기존 공지사항을 수정한다","공지 관리 페이지","API 200 응답, 수정된 내용이 반영되고 성공 메시지가 표시된다","PUT /api/admin/notices/{noticeId} → 200",,,,,
"테스트_관리자_04","공지/팝업 관리 [성공]","테스트_관리자_04.004","기존 공지사항을 삭제한다","공지 관리 페이지","삭제 확인 후 API 200 응답, 공지사항이 삭제되고 목록에서 제거된다","DELETE /api/admin/notices/{noticeId} → 200",,,,,
"테스트_관리자_04","공지/팝업 관리 [성공]","테스트_관리자_04.005","관리자 > 팝업 관리에서 메인 페이지 팝업을 등록한다","관리자 로그인 상태","API 200 응답, 메인 페이지 접속 시 등록한 팝업이 표시된다","POST /api/admin/notices (isPopup=true) → 201",,,,,
"테스트_관리자_05","문의/회원 관리 [성공]","테스트_관리자_05.001","관리자 > 문의 관리 페이지에 접속한다","관리자 로그인 상태","API 200 응답, 사용자 1:1 문의 목록(접수/답변완료 상태)이 표시된다","GET /api/admin/inquiries → 200",,,,,
"테스트_관리자_05","문의/회원 관리 [성공]","테스트_관리자_05.002","""접수"" 상태의 문의를 클릭하고 답변을 작성한다","문의 관리 페이지","API 200 응답, 답변이 등록되고 문의 상태가 ""답변완료""로 변경된다","POST /api/admin/inquiries/{inquiryId}/answer → 200",,,,,
"테스트_관리자_05","문의/회원 관리 [성공]","테스트_관리자_05.003","관리자 > 회원 관리 페이지에 접속한다","관리자 로그인 상태","API 200 응답, 전체 회원 목록(아이디, 닉네임, 가입일, 상태)이 표시된다","GET /api/admin/members → 200",,,,,
"테스트_관리자_05","문의/회원 관리 [성공]","테스트_관리자_05.004","회원 목록에서 특정 회원을 검색한다","회원 관리 페이지","해당 회원 정보가 검색 결과에 표시된다","GET /api/admin/members?keyword={kw} → 200",,,,,
"테스트_관리자_05","문의/회원 관리 [성공]","테스트_관리자_05.005","특정 회원의 계정을 정지 처리한다","회원 관리 페이지","API 200 응답, 해당 회원의 상태가 ""정지""로 변경된다","PATCH /api/admin/members/{userId}/status → 200",,,,,
"테스트_관리자_05","문의/회원 관리 [실패]","테스트_관리자_05.006","정지된 회원 계정으로 로그인을 시도한다","정지 처리 완료","API 403 응답, 계정 정지 안내 메시지가 표시되고 로그인이 거부된다","POST /api/auth/login → 403",,,,,
